timestamp,label,tileset,mode,sse,frames,width,height,numSplats,shDegree,frameMedian,frameMean,frameP95,cpuMedian,cpuMean,cpuP95,gpuMedian,gpuMean,gpuP95,gpuSamples,tileLoadMs,sortRequests,dataGenerations
2026-08-22T01:29:48.749Z,control-empty,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,16,120,1920,1080,,,6.000,6.035,6.300,0.300,0.340,0.500,0.118,0.118,0.120,120,0.0,,
2026-08-22T01:30:07.493Z,smoke-geo,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,8,120,1920,1080,1126691,3,11.400,14.707,18.300,1.000,2.810,6.900,4.421,4.469,4.719,120,3136.5,25,1
2026-08-22T01:31:08.627Z,control-empty,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,16,200,0,0,,,,,,,,,,,,0,0.0,,
2026-08-22T01:31:13.970Z,geo-sse32,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,32,200,1920,1080,169116,3,9.000,9.021,9.800,0.900,1.068,1.700,1.723,1.728,1.768,200,569.3,67,0
2026-08-22T01:31:20.940Z,geo-sse16,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,16,200,1920,1080,545605,3,10.900,10.901,12.600,1.100,1.607,3.100,3.232,3.053,3.432,200,1441.4,67,0
2026-08-22T01:31:31.293Z,geo-sse8,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,8,200,1920,1080,1025974,3,11.900,14.655,22.400,1.000,2.645,6.700,4.488,4.597,4.766,200,3098.2,44,2
2026-08-22T01:31:45.200Z,geo-sse4,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,4,200,1920,1080,1929318,3,13.100,16.829,23.600,1.300,3.448,10.900,5.333,5.369,5.804,200,4846.0,33,1
2026-08-22T01:32:01.081Z,geo-sse2,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,2,200,1920,1080,2940991,3,13.500,19.699,28.900,1.200,4.231,15.300,5.559,5.867,6.866,200,7579.6,25,1
2026-08-22T01:32:12.492Z,geo-static,/splat-data/oracle-run/geo-newdefault/tileset.json,static,4,200,1920,1080,2087136,3,10.700,10.699,11.100,0.800,0.829,1.000,4.090,4.088,4.097,200,4956.1,0,0
2026-08-22T01:32:25.541Z,geo-orbit-slow,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,4,200,1920,1080,2049998,3,12.300,16.390,23.400,1.100,3.217,10.800,5.160,5.344,5.697,200,4886.0,32,1
2026-08-22T01:32:38.735Z,geo-orbit-fast,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,4,200,1920,1080,1955569,3,12.400,16.382,23.500,1.200,3.346,10.700,5.210,5.297,5.888,200,4873.5,33,1
2026-08-22T01:33:07.000Z,geo-sse4-2160p,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,4,200,3840,2160,2940991,3,54.800,56.987,61.000,3.500,7.664,15.500,17.827,18.093,18.606,200,9795.9,66,1
2026-08-22T01:33:16.582Z,geo-sse4-720p,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,4,200,1280,720,1840345,3,6.600,8.325,16.300,0.600,1.670,9.200,2.950,2.952,3.351,200,4218.5,22,0
2026-08-22T01:33:32.442Z,geo-sse4-close,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,4,200,1920,1080,2519379,3,14.300,18.806,27.300,1.200,3.682,13.300,7.212,7.351,7.929,200,7540.7,26,1
2026-08-22T01:33:43.326Z,geo-sse4-far,/splat-data/oracle-run/geo-newdefault/tileset.json,orbit,4,200,1920,1080,1275085,3,10.200,12.987,17.900,0.900,2.651,7.400,2.578,2.975,3.785,200,3435.4,35,2
